Temp,Time,VOacac,DDT,OAm,Run_ID,GSD,Squareness,Size,PhasePure,HasProduct,Polymorph
260,8,0.08,1,7,1,NaN,NaN,NaN,0,0,
260,8,0.08,5,1,2,NaN,NaN,NaN,0,0,
260,8,0.66,1,1,3,NaN,NaN,NaN,0,0,
260,8,0.66,5,7,4,NaN,NaN,NaN,0,0,
260,90,0.08,1,1,5,1.71,0.50,11.2,0,1,cubic
260,90,0.08,5,7,6,NaN,NaN,NaN,0,0,
260,90,0.66,1,7,7,NaN,NaN,NaN,0,0,
260,90,0.66,5,1,8,1.34,0.48,45.0,0,1,cubic
310,8,0.08,1,1,9,1.50,0.57,11.4,0,1,cubic
310,8,0.08,5,7,10,1.42,0.46,17.4,0,1,cubic
310,8,0.66,1,7,11,1.13,0.53,14.9,1,1,cubic
310,8,0.66,5,1,12,1.16,0.54,22.1,1,1,cubic
310,90,0.08,1,7,13,1.25,0.58,14.5,1,1,cubic
310,90,0.08,5,1,14,1.22,0.57,17.5,0,1,cubic
310,90,0.66,1,1,15,1.51,0.53,30.9,1,1,cubic
285,49,0.37,3,4,16,1.16,0.52,21.0,1,1,cubic
285,49,0.37,3,4,17,1.23,0.55,21.6,1,1,cubic
285,49,0.37,3,4,18,1.17,0.54,21.5,1,1,cubic
260,90,0.08,5,1,19,1.56,0.51,12.0,0,1,cubic
260,90,0.08,1,7,20,NaN,NaN,NaN,0,0,
260,90,0.66,1,1,21,NaN,NaN,NaN,0,0,
260,90,0.66,5,7,22,1.26,0.39,24.4,1,1,multipod
310,8,0.08,1,7,23,NaN,NaN,NaN,0,0,
310,8,0.66,5,7,24,1.27,0.37,20.6,1,1,multipod
310,8,0.08,5,1,25,1.30,0.43,12.5,0,1,cubic
310,8,0.66,1,1,26,1.32,0.61,19.5,1,1,cubic
310,90,0.08,1,1,27,1.92,0.54,22.0,0,1,cubic
310,90,0.66,1,7,28,1.21,0.60,16.8,1,1,cubic
265,32,0.474,3.1,6.5,29,1.26,0.44,29.8,0,1,multipod
260,71,0.187,1.6,2.8,30,1.53,0.56,10.2,0,1,cubic
280,25,0.125,4.4,3.7,31,1.80,0.54,12.6,0,1,cubic
299,47,0.516,3.7,5.6,32,1.43,0.51,24.9,1,1,cubic
305,41,0.299,4.3,1.7,33,1.18,0.54,22.2,0,1,cubic
271,50,0.433,1.2,2.1,34,NaN,NaN,NaN,0,0,
293,69,0.622,4.8,4.2,35,1.21,0.43,41.6,1,1,multipod
286,60,0.343,3.6,6.9,36,1.53,0.52,18.2,1,1,cubic
273,87,0.259,1.8,3.4,37,1.25,0.41,13.1,0,1,cubic
284,80,0.416,2.6,1.2,38,1.30,0.52,16.9,1,1,cubic
309,9,0.146,2.1,4.8,39,1.26,0.57,12.9,1,1,cubic
294,15,0.596,2.9,5.3,40,1.62,0.53,21.2,0,1,cubic
297,14,0.594,2.3,6.2,41,1.21,0.58,18.2,1,1,cubic
300,14,0.607,2,5.4,42,1.38,0.53,22.1,0,1,cubic
289,79,0.255,1.2,2.7,43,1.27,0.37,14.4,0,1,cubic
270,75,0.125,3.5,5,44,1.26,0.36,18.4,0,1,cubic
280,67,0.301,3.9,6,45,1.30,0.56,22.9,1,1,cubic
285,60,0.083,3,4,46,1.48,0.40,11.7,0,1,cubic
267,86,0.293,3.7,1.3,47,1.35,0.47,35.7,1,1,cubic
284,89,0.198,3.1,2.9,48,1.30,0.50,16.1,0,1,cubic
304,34,0.252,2.1,3.8,49,1.15,0.61,15.6,1,1,cubic
290,30,0.11,4,2,50,1.43,0.53,15.3,0,1,cubic
292,42,0.394,4.7,1.8,51,1.34,0.46,40.8,0,1,multipod
300,39,0.376,4.6,5.4,52,1.37,0.42,28.0,1,1,multipod
289,57,0.244,1.9,4,53,1.67,0.51,14.4,1,1,cubic
300,45,0.1,2.5,3,54,1.28,0.57,16.4,1,1,cubic
270,83,0.184,3.4,1.4,55,NaN,NaN,NaN,0,0,
279,84,0.198,2.7,6.2,56,1.17,0.61,18.6,1,1,cubic
277,71,0.339,2.1,5.4,57,1.19,0.43,21.2,0,1,cubic
283,69,0.562,3.5,1.4,58,1.84,0.45,31.6,0,1,cubic
290,54,0.579,3.8,5,59,1.65,0.41,22.6,1,1,multipod
280,58,0.25,4.0,3.8,64,1.30,0.42,31.1,0,1,cubic
280,47,0.611,1.3,3.8,65,NaN,NaN,NaN,0,0,
294,43,0.314,2.4,1.3,66,1.60,0.47,18.0,0,1,cubic
296,36,0.54,4.2,1.5,67,1.32,0.54,31.2,0,1,cubic
303,34,0.106,4.9,2.3,68,1.32,0.55,16.0,1,1,cubic
308,22,0.503,2.9,1.9,69,1.59,0.49,22.1,1,1,cubic
297,24,0.217,1.0,4.3,70,1.53,0.44,20.5,0,1,cubic
298,11,0.47,3.4,1.4,71,1.30,0.54,28.1,0,1,cubic
302,17,0.418,3.7,5.8,72,1.25,0.55,24.9,1,1,cubic
