Temp,Time,VOacac,DDT,OAm,Cu_precursor,CV,Squareness,Size,PhasePure,HasProduct,Polymorph
296,36,0.54,4.2,1.5,CuBr,0.402,0.9,13.079,1,1,cubic
303,34,0.106,4.9,2.3,CuBr,0.466,0.83,15.815,0,1,cubic
290,54,0.579,3.8,5,CuBr,0.423,0.88,13.744,1,1,cubic
280,58,0.25,4,3.8,CuBr,NaN,NaN,NaN,0,0,
277,71,0.339,2.1,5.4,CuBr,NaN,NaN,NaN,0,0,
283,69,0.562,3.5,1.4,CuBr,0.454,0.894,12.101,0,1,cubic
270,83,0.184,1.4,5,CuBr,NaN,NaN,NaN,0,0,
279,84,0.198,2.7,6.2,CuBr,NaN,NaN,NaN,0,0,
280,47,0.611,1.3,3.8,CuBr,NaN,NaN,NaN,0,0,
294,43,0.314,2.4,1.3,CuBr,0.475,0.867,10.581,0,1,cubic
298,11,0.47,3.4,1.4,CuBr,0.254,0.753,16.708,0,1,cubic
302,17,0.418,3.7,5.8,CuBr,0.461,0.82,9.8,0,1,cubic
