Temp,Time,VOacac,DDT,OAm,Cu_precursor,CV,Squareness,Size,PhasePure,HasProduct,Polymorph
296.0,36.0,0.54,4.2,1.5,CuBr,0.402,0.9,13.079,1,1,cubic
303.0,34.0,0.106,4.9,2.3,CuBr,0.466,0.83,15.815,0,1,cubic
290.0,54.0,0.579,3.8,5.0,CuBr,0.423,0.88,13.744,1,1,cubic
280.0,58.0,0.25,4.0,3.8,CuBr,,,,0,0,
277.0,71.0,0.339,2.1,5.4,CuBr,,,,0,0,
283.0,69.0,0.562,3.5,1.4,CuBr,0.454,0.894,12.101,0,1,cubic
270.0,83.0,0.184,1.4,5.0,CuBr,,,,0,0,
279.0,84.0,0.198,2.7,6.2,CuBr,,,,0,0,
280.0,47.0,0.611,1.3,3.8,CuBr,,,,0,0,
294.0,43.0,0.314,2.4,1.3,CuBr,0.475,0.867,10.581,0,1,cubic
298.0,11.0,0.47,3.4,1.4,CuBr,0.254,0.753,16.708,0,1,cubic
302.0,17.0,0.418,3.7,5.8,CuBr,0.461,0.82,9.8,0,1,cubic
297.0,59.0,0.645,4.2,5.7,CuBr,0.149,0.95,15.754,0,1,cubic
307.0,26.0,0.534,4.1,1.9,CuBr,0.271,0.883,19.821,0,1,cubic
307.0,71.0,0.529,4.3,3.8,CuBr,0.497,0.973,14.553,0,1,cubic
298.0,79.0,0.614,3.9,2.4,CuBr,0.464,0.861,14.504,0,1,cubic
305.0,85.0,0.574,4.5,7.0,CuBr,0.319,0.924,15.827,1,1,cubic
307.0,28.0,0.623,5.0,5.7,CuBr,0.237,0.825,16.484,1,1,cubic
